scraped_at                , title                                                                                                                                      , url                                                                                                                                                                                   , published_at       , summary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , image_url                                                                                                                                                                                                        , categorias                              , comments_count, source                           , categoria             , clase_css
2026-05-15T16:24:08.215262, El futuro –el socialismo– es posible y necesario                                                                                           , http://www.cubadebate.cu/especiales/2026/05/15/el-futuro-el-socialismo-es-posible-y-necesario/                                                                                        , 2026-05-15 10:42:00, "¿Quién tiene derecho a un futuro? Lxs multimillonarixs, sin duda. En la actualidad hay más de 3.000 multimillonarios en el planeta y los 12 más ricos poseen una riqueza superior a la mitad más pobre de la humanidad: más de 4.000 millones de personas. Tomemos a Elon Musk como ejemplo."                                                                                                                                                                                                                                                 , http://media.cubadebate.cu/wp-content/uploads/2026/05/Antonio-Berni-Argentina_web-180x150.jpg                                                                                                                    , "['Especiales', 'Política']"            ,              0, cubadebate_politica              , politica              , politica-temas
2026-05-15T16:24:08.216846, Miremos a Cuba                                                                                                                             , http://www.cubadebate.cu/especiales/2026/05/15/miremos-a-cuba/                                                                                                                        , 2026-05-15 09:50:00, "Cuba es un país que existe mucho más allá de sus fronteras. Incluso asfixiada por un bloqueo criminal impuesto hace más de seis décadas por Estados Unidos, la Revolución Cubana resiste. Resistir significó y significa enfrentar el aislamiento económico, sabotajes permanentes, límites materiales y una guerra simbólica continua y violenta."                                                                                                                                                                                           , http://media.cubadebate.cu/wp-content/uploads/2025/08/Bandera-cubana_01-580x321.jpg                                                                                                                              , "['Especiales', 'Política']"            ,              0, cubadebate_politica              , politica              , politica-temas
2026-05-15T16:24:08.217596, "Rusia ofrece apoyo político, diplomático y material a Cuba frente al bloqueo de EEUU"                                                     , http://www.cubadebate.cu/noticias/2026/05/15/rusia-ofrece-apoyo-politico-diplomatico-y-material-a-cuba-frente-al-bloqueo-de-eeuu/                                                     , 2026-05-15 09:32:00, "El canciller de Rusia, Serguéi Lavrov, expresó este viernes la voluntad de su país de ofrecer respaldo a Cuba en relación con el bloqueo económico, comercial y financiero que mantiene Estados Unidos. La declaración tuvo lugar durante un encuentro bilateral con su homólogo cubano, Bruno Rodríguez Parrilla."                                                                                                                                                                                                                           , http://media.cubadebate.cu/wp-content/uploads/2026/05/6a06d329e9ff71368b1928eb-580x327.jpg                                                                                                                       , "['Noticias', 'Política']"              ,              0, cubadebate_politica              , politica              , politica-temas
2026-05-15T16:24:08.218327, Trump concluye visita a China con acuerdos para fortalecer la relación bilateral                                                           , http://www.cubadebate.cu/noticias/2026/05/15/trump-concluye-visita-a-china-con-acuerdos-para-fortalecer-la-relacion-bilateral/                                                        , 2026-05-15 09:15:00, "El presidente de Estados Unidos, Donald Trump, concluyó su visita oficial a China centrada en estabilizar los vínculos entre ambas naciones, fortalecer la confianza mutua y ampliar las oportunidades de cooperación económica. Según informó la parte china, ambos mandatarios coincidieron en promover una relación estratégica estable."                                                                                                                                                                                                  , http://media.cubadebate.cu/wp-content/uploads/2026/05/trump-x-jinping-2-150x125.jpg                                                                                                                              , "['Noticias', 'Política']"              ,              0, cubadebate_politica              , politica              , politica-temas
2026-05-15T16:24:08.219079, "El bloqueo, directo al corazón de un niño y de la tierra"                                                                                 , http://www.cubadebate.cu/especiales/2026/05/15/el-bloqueo-directo-al-corazon-de-un-nino-y-de-la-tierra/                                                                               , 2026-05-15 07:05:00, "Pocas cosas suelen ser tan crueles como esos actos que impone el bloqueo del Gobierno de Estados Unidos contra Cuba. A ellos nada parece despertarles gestos de humanismo. Mientras, en este pedazo de tierra, hay madres que no debieran padecer su maldad."                                                                                                                                                                                                                                                                                 , http://media.cubadebate.cu/wp-content/uploads/2026/05/Deneyis-nunca-renuncio-a-tener-a-Taylor.jpg-150x125.jpeg                                                                                                   , "['Especiales', 'Política']"            ,              0, cubadebate_politica              , politica              , politica-temas
2026-05-15T16:24:08.219897, Díaz-Canel recibe cartas credenciales de los embajadores de 10 países (+Fotos)                                                             , http://www.cubadebate.cu/noticias/2026/05/14/diaz-canel-recibe-cartas-credenciales-de-los-embajadores-de-10-paises-fotos/                                                             , 2026-05-14 23:39:00, "El presidente Miguel Díaz-Canel recibió el jueves 14 de mayo en el Palacio de la Revolución las cartas credenciales de 10 nuevos embajadores, a quienes agradeció el apoyo de sus países a la lucha de Cuba contra el bloqueo de Estados Unidos y el respaldo a la resolución que cada año aprueba la Asamblea General de la ONU para que se le ponga fin a una agresión injusta y genocida."                                                                                                                                                 , http://media.cubadebate.cu/wp-content/uploads/2026/05/611841340_1184202123868806_4382816461450319979_n-150x125.jpg                                                                                               , "['Noticias', 'Política']"              ,              0, cubadebate_politica              , politica              , politica-temas
2026-05-15T16:24:08.220548, Esteban Lazo intercambia con cuerpo diplomático de América Latina y el Caribe acreditado en Cuba (+ Fotos)                                 , http://www.cubadebate.cu/noticias/2026/05/14/esteban-lazo-intercambia-con-cuerpo-diplomatico-de-america-latina-y-el-caribe-acreditado-en-cuba-fotos/                                  , 2026-05-14 22:36:00, "El presidente de la Asamblea Nacional del Poder Popular, Esteban Lazo, intercambió el jueves con diplomáticos de América Latina y el Caribe acreditados en Cuba y agradeció la solidaridad de la región ante el bloqueo de Estados Unidos."                                                                                                                                                                                                                                                                                                   , http://media.cubadebate.cu/wp-content/uploads/2026/05/dsc_1060_0-180x150.jpg                                                                                                                                     , "['Noticias', 'Política']"              ,              1, cubadebate_politica              , politica              , politica-temas
2026-05-15T16:24:08.221288, Canciller cubano Bruno Rodríguez Parrilla participa en Reunión Ministerial de los BRICS                                                    , http://www.cubadebate.cu/noticias/2026/05/14/canciller-cubano-bruno-rodriguez-parrilla-participa-en-reunion-ministerial-de-los-brics-en-nueva-delhi/                                  , 2026-05-14 22:18:00, "El canciller cubano Bruno Rodríguez encabezó la delegación de Cuba en la Reunión Ministerial de los BRICS, celebrada el 14 de mayo de 2026 en Nueva Delhi, donde denunció la amenaza de agresión militar directa de Estados Unidos y alertó sobre las impredecibles consecuencias de consumarse un acto de esa naturaleza."                                                                                                                                                                                                                   , http://media.cubadebate.cu/wp-content/uploads/2026/05/minrex-bruno-brics-2-150x125.jpeg                                                                                                                          , "['Noticias', 'Política']"              ,              0, cubadebate_politica              , politica              , politica-temas
2026-05-15T16:24:08.221875, Chapeando: Trump contra China y Venezuela (+ Podcast)                                                                                      , http://www.cubadebate.cu/especiales/2026/05/14/chapeando-trump-contra-china-y-venezuela-podcast/                                                                                      , 2026-05-14 21:56:00, "Cuando pensábamos iniciar este episodio hablando de las pretensiones trumpistas de anexar Venezuela como Estado 51, Trump se fue a China y escribió en su red Truth Social un mensaje sobre Cuba."                                                                                                                                                                                                                                                                                                                                            , http://media.cubadebate.cu/wp-content/uploads/2022/03/chapeando-podcast-fake-news.png                                                                                                                            , ['Podcast']                             ,              0, cubadebate_politica              , politica              , politica-temas
2026-05-15T16:24:08.222580, Xi Jinping y Donald Trump recorren el Templo del Cielo en Beijing (+ Fotos y Video)                                                        , http://www.cubadebate.cu/noticias/2026/05/14/xi-jinping-y-donald-trump-recorren-el-templo-del-cielo-en-beijing-fotos-y-video/                                                         , 2026-05-14 20:28:00, "El presidente de China, Xi Jinping, recibió el 14 de mayo al presidente de Estados Unidos, Donald Trump, en visita de Estado, con un recorrido conjunto por el histórico Templo del Cielo en Beijing. Ambos mandatarios caminaron por la plaza del Salón de Oración por las Buenas Cosechas, donde se tomaron fotografías y apreciaron la arquitectura clásica del recinto."                                                                                                                                                                  , http://media.cubadebate.cu/wp-content/uploads/2026/05/Trump-y-Xi-Jinping-2-180x150.jpg                                                                                                                           , "['Noticias', 'Política']"              ,              0, cubadebate_politica              , politica              , politica-temas
